DATE,LRUN64TTPTQ156S
1998-01-01,5.94834451764279
1998-04-01,5.24282043825519
1998-07-01,5.13493807565395
1998-10-01,5.05400107409457
1999-01-01,4.78954507204396
1999-04-01,5.14168157009498
1999-07-01,4.64414273980623
1999-10-01,4.45211999321378
2000-01-01,4.4524335563749
2000-04-01,4.30312555138333
2000-07-01,4.32635387313
2000-10-01,3.93491401883368
2001-01-01,4.16397221439666
2001-04-01,4.30088413736997
2001-07-01,4.25260049086951
2001-10-01,4.28627624976045
2002-01-01,4.42878100019941
2002-04-01,5.04216768300003
2002-07-01,5.418479199519
2002-10-01,6.33734655757333
2003-01-01,6.47963840741473
2003-04-01,6.7841356757666
2003-07-01,6.58781320636026
2003-10-01,6.76019031831351
2004-01-01,6.52320011674188
2004-04-01,6.95902524620788
2004-07-01,7.2651245721504
2004-10-01,7.32968580697206
2005-01-01,7.71644133036834
2005-04-01,7.91463701596948
2005-07-01,8.24044060907797
2005-10-01,8.3176374058332
2006-01-01,7.97815514191296
2006-04-01,7.96903209800962
2006-07-01,8.02945934094502
2006-10-01,8.54190356904171
2007-01-01,8.63925409905216
2007-04-01,8.58186935318317
2007-07-01,8.43175375341165
2007-10-01,8.21247528359378
2008-01-01,7.79211375738649
2008-04-01,7.89197127881494
2008-07-01,8.19761119965729
2008-10-01,8.21213560991661
2009-01-01,10.5528207415128
2009-04-01,11.1921549399267
2009-07-01,11.934346234639
2009-10-01,12.0674265080701
2010-01-01,12.3684046175947
2010-04-01,12.9341549490479
2010-07-01,13.1156027143575
2010-10-01,13.082325315133
2011-01-01,13.0435742844405
2011-04-01,13.3137820807001
2011-07-01,13.7093412033105
2011-10-01,14.72542533141
2012-01-01,15.587806718008
2012-04-01,16.3326239637724
2012-07-01,17.4333265086381
2012-10-01,17.8880358544039
2013-01-01,18.1942524380664
2013-04-01,18.1920118677361
2013-07-01,17.0953482674602
2013-10-01,16.2019499125747
2014-01-01,15.8425460393596
2014-04-01,15.1409938193531
2014-07-01,14.1764654623035
2014-10-01,13.9778835181162
2015-01-01,14.2078323226338
2015-04-01,12.996189587437
2015-07-01,12.7694993237876
2015-10-01,12.6203152028193
2016-01-01,12.4591562436766
2016-04-01,11.9194178143692
2016-07-01,11.3416021032391
2016-10-01,10.9265060066013
2017-01-01,10.332031305716
2017-04-01,9.53089829359814
2017-07-01,8.93298669310672
2017-10-01,8.36049936507009
2018-01-01,7.92311871244999
2018-04-01,7.42722382427385
2018-07-01,7.15369128988939
2018-10-01,6.82801051615038
2019-01-01,6.8216876150519
2019-04-01,6.95770223180164
2019-07-01,6.49706026865283
2019-10-01,6.75233739939048
2020-01-01,6.7995911974619
2020-04-01,6.33948301782202
2020-07-01,8.07327435372755
2020-10-01,7.2799659285123
2021-01-01,7.10682516958558
2021-04-01,7.14816144130654
2021-07-01,6.30895339868834
2021-10-01,6.42595952803265
2022-01-01,6.00126832696948
2022-04-01,6.12954721397481
2022-07-01,6.09880122502532
2022-10-01,6.53524636163615
