DATE,PRTODCNPI03GPSAM
1994-02-01,-3.64365168212909
1994-03-01,-1.12284512748911
1994-04-01,2.66022456371972
1994-05-01,0.582310941531293
1994-06-01,2.0419571713794
1994-07-01,2.78066757021641
1994-08-01,4.94612898074464
1994-09-01,-5.06583161596243
1994-10-01,-5.46255602422097
1994-11-01,14.191446083394
1994-12-01,-4.57341081649532
1995-01-01,2.21808892739231
1995-02-01,-1.47269380241358
1995-03-01,1.30786796761469
1995-04-01,1.23975409836066
1995-05-01,-3.05637081267078
1995-06-01,9.64610084559974
1995-07-01,-6.95039512520233
1995-08-01,-6.36447354957536
1995-09-01,2.78658070156268
1995-10-01,0.191367212417594
1995-11-01,1.7084040747029
1995-12-01,0.959833072509134
1996-01-01,-1.61206985636045
1996-02-01,-1.80653292721353
1996-03-01,3.18750668520697
1996-04-01,5.90857261324764
1996-05-01,6.76323774101986
1996-06-01,-9.37843784378438
1996-07-01,7.0713201820941
1996-08-01,-0.170068027210908
1996-09-01,-1.18303993942836
1996-10-01,9.9224212240207
1996-11-01,-0.906160146379724
1996-12-01,8.21243295524489
1997-01-01,-8.34484439749737
1997-02-01,3.10283687943264
1997-03-01,7.80739466895958
1997-04-01,-8.15919604402616
1997-05-01,-4.26400347372991
1997-06-01,11.066763425254
1997-07-01,-1.94380921267561
1997-08-01,0.499750124937521
1997-09-01,7.89822642134927
1997-10-01,-3.4027191028497
1997-11-01,-1.99586513994909
1997-12-01,1.01419878296146
1998-01-01,-3.05220883534137
1998-02-01,5.6420878210439
1998-03-01,1.30970119990589
1998-04-01,5.24849047840224
1998-05-01,2.07413945278023
1998-06-01,-3.62444156218475
1998-07-01,7.63364485981308
1998-08-01,-4.6679633231453
1998-09-01,-1.39172252987469
1998-10-01,6.70213552057932
1998-11-01,0.32548476454294
1998-12-01,-6.65424173396839
1999-01-01,7.8015233306219
1999-02-01,-4.57538757031143
1999-03-01,7.80677161958163
1999-04-01,-2.18710408748416
1999-05-01,6.26491240029994
1999-06-01,-7.69181421606363
1999-07-01,1.01466397942872
1999-08-01,6.8249054007568
1999-09-01,-3.63882269594899
1999-10-01,-0.942387381366139
1999-11-01,-1.77450914243303
1999-12-01,6.55309795301553
2000-01-01,-5.82129963898916
2000-02-01,22.7051817372852
2000-03-01,-17.9683141805199
2000-04-01,3.86263175790547
2000-05-01,-11.6414587834741
2000-06-01,1.45238977399035
2000-07-01,-0.299466803009266
2000-08-01,-1.63369963369963
2000-09-01,-2.11514113353691
2000-10-01,5.91950087499048
2000-11-01,-0.739889375763234
2000-12-01,-4.66058763931103
2001-01-01,-9.71610748443904
2001-02-01,4.18698503447116
2001-03-01,17.3741123305358
2001-04-01,-8.54589205912684
2001-05-01,7.81837317696586
2001-06-01,3.52112676056339
2001-07-01,-10.04243281471
2001-08-01,1.75202156334232
2001-09-01,-0.706401766004402
2001-10-01,-13.0502445531347
2001-11-01,-0.332395806699051
2001-12-01,13.1520437831367
2002-01-01,-18.6064087061669
2002-02-01,11.2999071494893
2002-03-01,0.483857512304996
2002-04-01,-3.49522623495226
2002-05-01,-8.72333103922919
2002-06-01,4.34495758718191
2002-07-01,12.2482160599765
2002-08-01,-8.55395509777099
2002-09-01,2.62231608588525
2002-10-01,-8.96072714800206
2002-11-01,-14.3072431006876
2002-12-01,4.60540778193012
2003-01-01,-6.65125564778818
2003-02-01,16.8505177847816
2003-03-01,-14.4687409690781
2003-04-01,5.33843901340241
2003-05-01,8.04020100502514
2003-06-01,-6.87778327560614
2003-07-01,5.41976620616365
2003-08-01,-10.1008064516129
2003-09-01,1.52500560663827
2003-10-01,11.8732052131654
2003-11-01,-8.74716161516437
2003-12-01,-2.84539651628259
2004-01-01,-6.39198218262806
2004-02-01,-1.34427789674044
2004-03-01,8.58555408175572
2004-04-01,5.14158800666296
2004-05-01,4.7950992817913
2004-06-01,-9.42350332594236
2004-07-01,-5.37442973183488
2004-08-01,-0.270460959548444
2004-09-01,-2.93597453130526
2004-10-01,1.90719144800775
2004-11-01,15.4249612587913
2004-12-01,0.123928534545084
2005-01-01,9.16967509025272
2005-02-01,-14.6636432350718
2005-03-01,3.56510186005314
2005-04-01,-5.78362197990163
2005-05-01,-8.37399296493817
2005-06-01,-5.48606811145509
2005-07-01,-0.157232704402522
2005-08-01,13.5301837270341
2005-09-01,-0.265865217893882
2005-10-01,-10.0139082058414
2005-11-01,15.1983513652756
2005-12-01,-6.44007155635063
2006-01-01,11.6993307839388
2006-02-01,-17.4173531614422
2006-03-01,0.466381655654872
2006-04-01,12.134107027724
2006-05-01,-9.99310027598895
2006-06-01,15.3315446531238
2006-07-01,-9.19463830730032
2006-08-01,0.707575942417956
2006-09-01,-3.81586917019988
2006-10-01,19.0050377833753
2006-11-01,-14.8692983384485
2006-12-01,-1.67826951765292
2007-01-01,17.2335314199014
2007-02-01,-17.9572907679034
2007-03-01,2.10332588405416
2007-04-01,-15.488605639243
2007-05-01,12.9494210847044
2007-06-01,3.58780685190181
2007-07-01,9.28385416666666
2007-08-01,-13.3921124746813
2007-09-01,1.93974411886092
2007-10-01,-5.56005398110662
2007-11-01,13.4324092597885
2007-12-01,-16.3265306122449
2008-01-01,18.2776272207167
2008-02-01,-19.0300407331976
2008-03-01,-2.31095739663577
2008-04-01,-2.71966527196652
2008-05-01,-13.6476426799007
2008-06-01,14.4444444444445
2008-07-01,-13.9437562772012
2008-08-01,-7.13868897101731
2008-09-01,-8.46250523669878
2008-10-01,0.434782608695655
2008-11-01,-10.5946684894053
2008-12-01,-16.3863404689093
