DATE,PRTCPIALLMINMEI
1960-01-01,1.10498960041079
1960-02-01,1.11190195716045
1960-03-01,1.12276423205279
1960-04-01,1.10005220273246
1960-05-01,1.08918992784013
1960-06-01,1.09610228458979
1960-07-01,1.09116488691146
1960-08-01,1.09807724366112
1960-09-01,1.09610228458979
1960-10-01,1.10992699808912
1960-11-01,1.12177675251712
1960-12-01,1.11782683437445
1961-01-01,1.10795203901779
1961-02-01,1.11288943669612
1961-03-01,1.11190195716045
1961-04-01,1.10795203901779
1961-05-01,1.10696455948212
1961-06-01,1.10400212087512
1961-07-01,1.11091447762479
1961-08-01,1.13066406833812
1961-09-01,1.13856390462345
1961-10-01,1.14547626137311
1961-11-01,1.15041365905145
1961-12-01,1.13757642508778
1962-01-01,1.13560146601645
1962-02-01,1.14152634323045
1962-03-01,1.15535105672978
1962-04-01,1.15238861812278
1962-05-01,1.13757642508778
1962-06-01,1.13856390462345
1962-07-01,1.14646374090878
1962-08-01,1.14843869998011
1962-09-01,1.15337609765845
1962-10-01,1.16917577022911
1962-11-01,1.18102552465711
1962-12-01,1.16423837255078
1963-01-01,1.16226341347944
1963-02-01,1.17806308605011
1963-03-01,1.1958377176921
1963-04-01,1.18300048372844
1963-05-01,1.16522585208644
1963-06-01,1.15732601580111
1963-07-01,1.13856390462345
1963-08-01,1.16621333162211
1963-09-01,1.16522585208644
1963-10-01,1.18201300419277
1963-11-01,1.20966243119144
1963-12-01,1.19978763583477
1964-01-01,1.18892536094244
1964-02-01,1.19781267676344
1964-03-01,1.2195372265481
1964-04-01,1.21558730840543
1964-05-01,1.2047250335131
1964-06-01,1.20867495165577
1964-07-01,1.20867495165577
1964-08-01,1.2195372265481
1964-09-01,1.2195372265481
1964-10-01,1.22941202190476
1964-11-01,1.23632437865443
1964-12-01,1.2402742967971
1965-01-01,1.23928681726143
1965-02-01,1.2343494195831
1965-03-01,1.25409901029643
1965-04-01,1.25212405122509
1965-05-01,1.24521169447543
1965-06-01,1.24817413308243
1965-07-01,1.24126177633276
